T,D,G,Gy,Gz,A,Ay,Az,M,My,Mz,P,R,H,H_corrected
19979,42,0.53,2.21,1.58,0.03,0.06,0.91,0.01,0.46,-0.22,-2.05,3.49,-82.11,-164.22
20036,37,-0.95,-2.94,2.12,,0.06,0.91,0,0.46,-0.22,-4.1,1.78,-81.77,-163.54
20163,42,-7.27,10.5,2.81,0,0.1,0.89, ,0.46,-0.22,0.18,6.7,-82.18,-164.36
20293,41,-3.33,1.67,-0.05,0.05,0.08,0.94,0.01,0.45,-0.22,-2.81,5.06,-82.57,-165.14
20349,48,4.51,0.67,2.84,0.04,0.06,0.96,0,0.46,-0.21,-2.39,3.45,-81.39,-162.78
20407,50,3.51,-2.66,1.6,0.03,0.08,1,0,0.47,-0.21,-1.63,4.34,-81.67,-163.34
20463,45,3.51,-2.66,1.6,0.01,0.05,0.99,-0.01,0.47,-0.22,-0.86,2.69,-80.5,-161
20520,42,-4.4,-4.53,-0.09,0.04,0.08,0.96,0,0.47,-0.21,-2.09,4.82,-81.15,-162.3
20577,50,-4.03,-7.84,-0.25,0.02,0.06,0.99,-0.01,0.47,-0.21,-0.98,3.7,-80.32,-160.64
20634,56,-7.32,-6.85,-3.5,0.03,0.09,1.01,-0.01,0.46,-0.21,-1.42,5.02,-79.76,-159.52
20690,53,-3.36,-3.45,-2.76,0.04,0.07,0.96,-0.01,0.46,-0.21,-2.33,4.03,-79.61,-159.22
20748,54,7.47,-1.72,3.96,0.01,0.09,0.98,-0.01,0.46,-0.21,-0.37,5,-80.16,-160.32
20805,64,14.19,-6.67,3.29,-0.01,0.05,0.97,-0.01,0.48,-0.2,0.46,2.7,-79.7,-159.4
20861,65,12.37,-10.86,3.34,-0.01,0.04,0.98,-0.02,0.48,-0.19,0.62,2.55,-79.03,-158.06
20919,70,6.9,-4.22,0.9,-0.05,0.03,0.96,-0.02,0.49,-0.2,3.04,1.98,-79.4,-158.8
20975,77,-0.21,-3.75,-2.7,0,0.03,0.99,-0.02,0.49,-0.2,-0.26,1.92,-78.68,-157.36
21033,84,-0.25,-4.26,0.07, -,0.03,0.99,-0.03,0.49,-0.19,0.02,2.74,-78,-156
21163,97,5.2,3.09,6.55,0,-0.02,1,-0.03,0.51,-0.2,-0.1,-0.94,-78.02,-156.04
21293,107,2.42,-0.04,7.06,-0.07,0.01,0.98,-0.03,0.51,-0.21,4.01,0.67,-78.07,-156.14
21350,128,0.46,4.26,4.23,-0.03,0.03,1.02,-0.03,0.51,-0.2,1.69,1.5,-78.24,-156.48
21406,134,-2.72,0.63,0.82,-0.05,0.01,0.99,-0.03,0.52,-0.2,3.03,0.81,-78.31,-156.62
21464,141,-4.99,1.76,0.02,-0.05,0.01,0.97,-0.03,0.52,-0.2,2.74,0.68,-78.52,-157.04
21520,156,-5.63,3.21,-1.4,-0.04,0.01,0.94,-0.02,0.51,-0.19,2.27,0.61,-78.85,-157.7
21577,168,-2.42,3.26,2.11,-0.01,0.01,0.96,-0.02,0.51,-0.2,0.79,0.43,-78.89,-157.78
21635,179,0.52,-0.42,2.04,-0.03,0.02,0.96,-0.02,0.51,-0.2,1.87,1.47,-78.8,-157.6
21691,187,4.3,5.82,2.07,0,0.01,0.98,-0.02,0.51,-0.2,-0.16,0.86,-78.91,-157.82
21748,200,3.27,1.12,0.88,-0.01,0.02,1,-0.02,0.51,-0.2,0.46,0.92,-79.01,-158.02
21805,210,3.27,1.12,0.88,0.01,0.01,0.98,-0.02,0.51,-0.2,-0.31,0.68,-79.39,-158.78
21862,222,-0.27,-2.39,-1.95,0,-0.02,0.97,-0.02,0.52,-0.2,0.21,-1.4,-79.6,-159.2
21919,241,-1.41,-4.21,-0.69,-0.02,-0.01,0.96,-0.02,0.52,-0.2,1.15,-0.81,-78.87,-157.74
21976,248,-4.72,-0.49,-1.58,0,0,0.98,-0.02,0.52,-0.2,0.14,0.24,-79.4,-158.8
22033,266,-2.79,-2.41,-2.98,-0.06,-0.01,0.98,-0.02,0.52,-0.19,3.31,-0.36,-79.33,-158.66
22133,267,0.19,0.66,-1.29,-0.03,0,0.96,0,0.52,-0.19,2.07,0.27,-80.13,-160.26
22261,292,-1.12,4.87,1.65,-0.02,0.02,0.94,-0.02,0.53,-0.2,0.96,1.22,-79.67,-159.34
22347,328,-4,2.19,2.28,-0.01,0.01,0.97,-0.01,0.52,-0.2,0.41,0.81,-79.9,-159.8
22405,348, ,2.19,2.28,-0.02,0.03,1.01,-0.02,0.52,-0.2,1.13,1.42,-79.34,-158.68
22462,359,-5.5,-4.45,0.88,-0.02,0.01,0.97,-0.01,0.52,-0.2,0.9,0.56,-79.78,-159.56
22518,378,-3.17,-0.4,0.69,-0.02,0.01,1,-0.02,0.52,-0.2,1.33,0.56,-79.29,-158.58
22576,376,-4.02,-0.25,0.71,0.01,0,0.99,-0.02,0.52,-0.2,-0.58,-0.05,-79.47,-158.94
22632,395,0.73,-4.66,-1.09,-0.04,0.03,1.03,-0.02,0.52,-0.2,1.95,1.79,-79.71,-159.42
22689,396,-0.62,-6.69,-8.1,-0.04,0.01,0.98,-0.02,0.52,-0.19,2.43,0.52,-79.1,-158.2
22747,436,0.56,-8.04,-6.69,-0.06,0,0.93,-0.02,0.52,-0.19,3.54,-0.28,-78.83,-157.66
22803,453,-3.54,0,-11.86,-0.09,0.01,0.96,-0.03,0.52,-0.19,5.11,0.75,-78.07,-156.14
22860,465,-1.91,-0.52,-4.65,-0.02,0.04,0.91,-0.03,0.52,-0.19,1.22,2.69,-78.07,-156.14
22917,452,-2.73,-1.3,-5.02,-0.06,0.02,0.94,-0.03,0.52,-0.19,3.43,1.07,-78.21,-156.42
22974,489,-0.72,3.68,2.8,0,0.03,0.91,-0.02,0.52,-0.19,-0.03,1.59,-78.7,-157.4
23031,501,0.45,-0.17,4.6,-0.05,0.02,0.95,-0.02,0.52,-0.19,3.26,1.23,-78.85,-157.7
23089,517,0.45,-0.17,4.6,-0.04,-0.04,0.96,-0.03,0.52,-0.19,2.15,-2.23,-78.35,-156.7
 ,517,-7.72,5.34,-3.16,-0.01,0.02,0.95,-0.03,,-0.19,0.71,1.44,-78.41,-156.82
23347,578,-12.64,4.05,-4.45,,0.02,0.95,-0.01,0.51,-0.19,3.7,2.41,-79.88,-159.76
23478,571,5.21,-5.66,1.13,-0.05,0.05,0.98,-0.02,0.51,-0.18,2.66,2.82,-79.18,-158.36
,586,12.61,6.22,6.72,-0.04,0.04,0.98,-0.02,0.52,-0.19,2.2,2.56,-78.84,-157.68
23618,611,17.53,8.02,10.75,-0.02,0.05,0.98,-0.02,0.52,-0.19,1.1,2.84,-79.27,-158.54
23674,646,12.85,2.29,11.02,-0.03,0,0.97,-0.02,0.54,-0.19,1.57,0.24,-79.24,-158.48
23732,654,6.05,6.01,14.39,-0.03,0.01,0.98,-0.03,0.55,-0.19,1.56,0.37,-78.82,-157.64
23789,673,-4.65,7.74,10.74,-0.01,0.01,0.95,-0.02,0.55,-0.19,0.79,0.8,-79.15,-158.3
23845,677,-6.3,5.34,5.99,-0.02,0.03,0.95,-0.01,0.55,-0.19,1.35,1.52,-79.88,-159.76
23903,703,-7.88,1.84,-4,-0.02,0.03,0.98,-0.02,0.55,-0.2,1.15,2.01,-79.79,-159.58
23960,686,-4.82,-4,-5.81,0,0.04,0.97,-0.01,0.54,-0.2,-0.11,2.35,-80.11,-160.22
23960,672,-3.69,-3.72,-3.9,0.01,0.01,1,-0.01,0.54,-0.19, ,0.71,-79.95,-159.9
24146,697,-1.12,2.25,9.95,-0.02,0.02,0.96,-0.01,0.54,-0.19,1.38,1.41,-80,-160
24278,759,0.18,6.63,10.31,0.01,0.02,0.93,0,0.55,-0.19,-0.37,1.23,-81.02,-162.04
24334,756,3.38,20.23,6.54,-0.03,0.03,0.95,0,0.55,-0.19,1.85,1.69,-81.19,-162.38
24391,760,0.73,9.77,4.08,0,-0.01,0.92,0.01,0.56,-0.19,-0.18,-0.6,-82.11,-164.22
24457,795,2.22,3.26, ,0.03,-0.02,1,0.01,0.56,-0.2,-1.72,-1.09,-82.24,-164.48
24514,844,-4.41,3.68,-2.41,0.04,-0.01,1.01,0.01,0.56,-0.19,-2.35,-0.53,-82.29,-164.58
24570,824,-0.62,-3.13,-0.41,0.09,0.01,0.95,0.01,0.56,-0.19,-5.57,0.66,-82.71,-165.42
24628, ,4.53,0.45,-0.62,0.01,0,1,0.01,0.56,-0.19,-0.45,0.27,-82.53,-165.06
24685,835,8.78,0.48,-0.23,0.05,0.01,0.92,0.01,0.56,-0.2,-2.95,0.59,-82.51,-165.02
24741,819,5.22,3.29,-6.48,-0.04,-0.03,0.94,0.01,0.57,-0.19,2.28,-1.87,-82.78,-165.56
24799,848,1.57,-3.91,-11.36,0.06,0,0.94,0.02,0.56,-0.19,-3.47,0.15,-83.04,-166.08
24855,857,-8.2,-7.85,-6.57,0.03,-0.03,0.96,0.01,0.57,-0.19,-1.65,-1.93,-82.34,-164.68
24912,881,-13.54,-6.14,-1.33,0.04,0.01,0.98,0.01,0.56,-0.19,-2.11,0.33,-82.05,-164.1
24970,889,-14.06,-0.55,-1.19,-0.01,0.01,0.96,0.01,0.56,-0.18,0.32,0.57,-82.47,-164.94
25027,897,-2,-1.62,0.27,0.03,0.02,0.89,0,0.56,-0.18,-2.12,1.58,-81.54,-163.08
25157,913,2.51,-3.8,3.07,-0.12,-0.06,0.92,0.01,0.56,-0.19,7.25,-3.76,-82.04,-164.08
25285,955,4.56,-1.85,-4.22,0.04,-0.04,1,0.01,0.55,-0.2,-2.08,-2.03,-82.59,-165.18
25341,925,2.22,-10.55,5.85,0.03,-0.05,0.97,0.01,0.56,-0.19,-1.89,-3,-82.27,-164.54
25399,962,7.09,-3.4,10.65,-0.02,-0.01,0.97,0,0.56,-0.19,1.46,-0.55,-81.89,-163.78
25456,920,11.32,-1.52,4,0,-0.01,0.95,0,0.56,-0.19,0.17,-0.86,-81.58,-163.16
25512,929,9.57,1.11,3.06,0.02,-0.01,0.95,0,0.57,-0.19,-1.05,-0.57,-81.5,-163
25570,,7.25,-0.59,3.34,0.01,-0.03,0.93,0,0.58,-0.18,-0.41,-1.83,-81.74,-163.48
25627,932,9,-0.59,3.34,-0.02,-0.01,0.98,0,0.58,-0.18,1.07,-0.67,-81.01,-162.02
25684,933,4.18,-0.59,-2.9,0.01,-0.04,0.99,0,0.58,-0.19,-0.42,-2.48,-81.3,-162.6
25742,961,-2,-3.76,-3.85,0,-0.07,1,0,0.59,-0.18,-0.06,-3.88,-81.11,-162.22
25798,893,-2.63,-13.49,1.68,0.01,-0.06,0.95,0,0.59,-0.19,-0.58,-3.37,-81.24,-162.48
25856,999,-0.81,-2.12,2.28,-0.02,-0.06,0.97,-0.01,0.59,-0.17,1.45,-3.39,-80.44,-160.88
25912,920,2.83,-6.69,2.47,-0.03,-0.09,0.93,-0.01,0.59,-0.18,2.08,-5.4,-80.65,-161.3
25969,960,10.26,-1.33,2.73,-0.05,-0.05,0.91,-0.01,0.61,-0.17,3.08,-2.93,-80.29,-160.58
26027,969,14.5,-5.58,2.51,-0.02,-0.09,0.95, ,0.61,-0.17,1.3,-5.43,-80.09,-160.18
26158,,-10.68,-1.47,6.09,-0.08,-0.11,0.97,-0.02,0.64,-0.15,4.63,-6.43,-79.41,-158.82
26290,968,-4.26,3.23,-7.63,-0.06,-0.09,0.94,-0.02,0.63,-0.15,3.55,-5.64,-79.31,-158.62
26347,933,4.33,1.93,-6.94,-0.05,-0.09,0.97,-0.02,0.63,-0.15,2.81,-5.26,-79.61,-159.22
26403,945,6.53,0.61,-4.35,-0.04,-0.12,0.98,-0.02,0.63,-0.15,2.39,-7.14,-79.29,-158.58
26461,941,3.6,3.36,-0.06,-0.05,-0.11,0.96,-0.02,0.63,-0.15,2.92,-6.77,-79.35,-158.7
26518,989,-1.01,4.42,-2.28,-0.04,-0.12,0.98,-0.02,0.63,-0.15,2.22,-7.23,-79.35,-158.7
26574,985,-1.59,1.4,-0.34,-0.02,-0.12,0.94,-0.02,0.63,-0.15,1.27,-7.47,-79.42,-158.84
26632,942,-0.34,1.92,-0.78,-0.07,-0.12,0.97,-0.02,0.63,-0.15,3.92,-6.83,-79.98,-159.96
26689,983,3.86,-3.85,-2.16,-0.02,-0.12,0.96,-0.02,0.63,-0.15,1.43,-7.1,-79.4,-158.8
26746,948,1.66,0.95,-3.47,-0.07,-0.09,0.98,-0.02,0.63,-0.15,4.29,-5.08,-79.17,-158.34
26804,995,-5.03,0.55,-4.35,-0.06,-0.1,0.96,-0.02,0.63,-0.15,3.56,-6.19,-79.49,-158.98
26860,946,-7.14,4.03,-4.62,-0.03,-0.08,0.98,-0.02,0.63,-0.15,2.02,-4.38,-79.58,-159.16
26917,964,-8.79,-4.8,-1.34,-0.04,-0.09,0.99,-0.02,0.62,-0.15,2.17,-4.96,-79.24,-158.48
26974,990,-11.75,5.85,-0.22,-0.03,-0.08,0.98,-0.02,0.62,-0.15,1.64,-4.39,-79.6,-159.2
27032,949,-11.43,6.57,4.56,0,-0.08,0.98,-0.01,0.62,-0.15,0.95,-2.25,-80.16,-160.32
27161,985,2.46,-9.01,-7.96,,-0.08,0.98,-0.02,0.61,-0.15,3.13,-1.28,-79.77,-159.54
27291,963,-3.54,-13.05,-6.62,-0.06,-0.04,0.98,-0.03,0.61,-0.14,3.26,-2.62,-78.84,-157.68
27348,991,-5.62,-4.8,-2.55,-0.03,-0.04,0.98,-0.03,0.6,-0.14,1.71,-2.54,-78.65,-157.3
27406,990,-4.48,-8.6,-2.84,-0.1,-0.03,0.97,-0.03,0.6,-0.15,5.93,-2,-78.69,-157.38
27462,976,0.37,2.09,-3.99,-0.07,-0.04,0.95,-0.03,0.61,-0.15,4.04,-2.33,-78.67,-157.34
27520,991,0.63,1.81,-6.34,-0.08,-0.08,0.96,-0.03,0.6,-0.15,4.86,-4.61,-78.81,-157.62
27576,981,-1.26,12.64,-9.27,-0.07,-0.05,1,-0.02,0.6,-0.15,3.74,-3.05,-79.07,-158.14
27633,986,-5.25,0.08,-5.58,-0.06,-0.05,1,-0.03,0.6,-0.15,3.17,-2.76,-78.84,-157.68
27691,970,-3.8,-5.33,-0.19,-0.07,-0.03,0.96,-0.03,0.59,-0.15,4.2,-1.66,-78.82,-157.64
27747,997,1.5,0.23,-0.93,-0.09,-0.03,0.95,-0.03,0.6,-0.15,5.29,-1.9,-78.42,-156.84
27805,996,2.91,5.41,-4.84,-0.08,-0.03,0.95,-0.02,0.6,-0.15,4.9,-1.96,-79.28,-158.56
27863,1029,3.09,1.43,-3.95,-0.06,-0.05,0.94,-0.03,0.6,-0.15,3.86,-2.88,-78.89,-157.78
27919,992,-1.16,0.9,-1.54,-0.06,-0.05,0.98,-0.03,0.6,-0.14,3.55,-3.04,-78.99,-157.98
27976,965,-7.62,2.69,3.89,-0.07,-0.06,0.97,-0.02,0.6,-0.15,3.98,-3.63,-79.39,-158.78
,1000,-7.32,-7.46,6.02,0,-0.06,0.97,-0.02,0.59,-0.15,7.48,-2.67,-79.01,-158.02
28166,997,-2.73,2.77,0.17,0,-0.06,0.97,-0.03,0.59,-0.15,4.98,-4.59,-7,-14
28296,968,-1.29,4.94,-7.67,-0.03,-0.04,0.97,-0.02,0.59,-0.15,1.71,-2.37,-79.42,-158.84
28426,,0.1,4.55,0.54,-0.08,-0.02,0.97,-0.02,0.59,-0.16,4.52,-1.25,-79.59,-159.18
,1013,-2.17,8.65,-6.1,-0.04,-0.02,0.96,-0.02,0.59,-0.16,2.61,-1.19,-79.83,-159.66
28562,997,-3.93,-0.28,-1.37,0,-0.06,0.96,-0.02,0.59,-0.16,0.18,-3.62,-79.79,-159.58
28618,977,-7.58,-3.55,6.9,-0.07,-0.06,0.99,-0.02,0.58,-0.15,3.87,-3.24,-79.36,-158.72
28676,988,-7.54,7.68,2.99,-0.06,-0.01,0.94,-0.02,0.59,-0.15,3.67,-0.85,-79.72,-159.44
28733,998,-2.49,6.82,-3.82,-0.06,0.01,0.97,-0.01,0.58,-0.15,3.38,0.6,-80.31,-160.62
28789,975,3.08,-0.19,-5.12,-0.01,0,0.95,-0.01,0.58,-0.17,0.69,-0.1,-80.89,-161.78
28847,991,4.13,-7.4,2.43,-0.05,0,1,-0.01,0.58,-0.16,2.65,0.14,-80.01,-160.02
28903,1033,3.26,-5.5,5.18,-0.07,-0.02,0.99,-0.02,0.58,-0.16,3.81,-1.28,-79.73,-159.46
28960,941,-0.87,1.46,2.57,-0.08,-0.02,1.02,-0.02,0.59,-0.16,4.24,-1.3,-79.83,-159.66
29018,1001,-3.75,0.77,-0.56,-0.02,-0.03,0.98,-0.01,0.58,-0.15,1.3,-1.49,-79.96,-159.92
29109,1002,-2.91,-0.12,6,-0.02,-0.04,0.94,-0.02,0.58,-0.15,1.38,-2.17,,0
29241,1035,2.56,-1.79,2,-0.02,-0.05,0.94,-0.02,0.59,-0.15,1.03,-3.2,-79.67,-159.34
29332,1039,-3.13,0.95,1.71,-0.03,-0.07,0.94,-0.02,0.59,-0.16,1.61,-4.14,-79.53,-159.06
29389,1020,-2.29,-1.12,6.9,-0.02,-0.06,0.92,-0.02,0.59,-0.15,1.11,-4.02,-79.71,-159.42
29447,1001,-3.75,5.3,10.41,-0.04,-0.06,1.02,-0.02,0.59,-0.15,2.41,-3.15,-79.43,-158.86
29503,1031,0.21,1.98,9.25,-0.07,-0.03,0.98,-0.02,0.59,-0.15,4.18,-2.01,-79.81,-159.62
29560,1024,-1.09,1.38,-0.81,-0.04,-0.05,1,-0.01,0.6,-0.15,2.13,-2.7,-80.05,-160.1
29618,994,-0.28,-2.54,-7.32,-0.02,-0.02,1,-0.01,0.6,-0.15,1.21,-1.16,-80.04,-160.08
29675,1017,0.07,-4.68,-8.01,-0.04,-0.03,0.97,-0.02,0.59,-0.15,2.37,-2.01,-79.79,-159.58
29732,1041,3.4,-3.54,-4.5,-0.06,-0.01,0.98,-0.02,0.59,-0.15,3.33,-0.75,-79.72,-159.44
29789,1019,1.88,0.43,-3.12,-0.07,-0.02,0.98,-0.03,0.59,-0.14,3.9,-1.29,-78.88,-157.76
29846,1016,-2.62,3.51,1.99,-0.03,0,0.95,-0.02,0.59,-0.14,1.92,-0.3,-79.54,-159.08
29903,1019,-4.93,-4.54,3.22,-0.06,0,0.95,-0.02,0.59,-0.14,3.69,0.05,-79.5,-159
29960,1058,-5.15,2.14,5.17,-0.08,-0.01,0.95,-0.02,0.59,-0.14,4.75,-0.68,-79.51,-159.02
30017,1029,0.28,-0.14,6.76,-0.09,0,0.97,-0.02,0.59,-0.14,5.1,-0.01,-79.59,-159.18
,1041,1.82,6.65,-0.49,0,0,0.97,-0.02,0.6,-0.14,4.27,-1.09,-79.89,-159.78
30204,993,-5.21,-5.09,3.44,-0.07,-0.04,0.96,-0.02,0.6,-0.14,4.23,-2.58,-79.87,-159.74
30337,1032,6.05,7.83,5.95,-0.04,-0.04,0.93,-0.02,0.6,-0.15,2.53,-2.59,-79.9,-159.8
30394,102,5.06,4.19,2.63,-0.05,-0.04,0.95,-0.02,0.6,-0.14,3.3,-2.41,-79.97,-159.94
30450,1062,0.44,4.31,0.61,-0.05,-0.05,0.96,-0.01,0.61,-0.14,2.84,-2.72,-80.08,-160.16
30508,1059,-8.47,3.45,-3.07,-0.06,-0.05,0.93,-0.01,0.61,-0.15,3.38,-3.23,-80.43,-160.86
30565,1024,-6.92,-1.39,-6.03,-0.05,-0.05,0.94,-0.01,0.6,-0.15,3.06,-2.95,-80.25,-160.5
30622,1,-6.41,4.38,-10.1,-0.02,-0.03,0.98,-0.01,0.6,-0.15,1.44,-1.79,-80.13,-160.26
30680,1074,-1.72,1.47,-12.3,-0.07,-0.02,1,-0.01,0.59,-0.14,4.24,-1.16,-80.49,-160.98
30737,1048,-1.09,1.5,-8.48,0,0,0.99,-0.01,0.6,-0.15,-0.29,-0.01,-80.77,-161.54
30793,1006,-2.22,2.53,-2.87,-0.01,-0.02,0.99,-0.01,0.59,-0.15,0.35,-1.05,-80.56,-161.12
30851,1010,-0.99,0.76,1.56,-0.04,0,0.98,-0.01,0.59,-0.15,2.59,0.19,-80.62,-161.24
30908,1088,-4.31,-2.63,-1.66,-0.03,-0.03,0.97,-0.01,0.59,-0.14,2.02,-1.9,-80.66,-161.32
30964,1093,-1.92,-3.67,-5.41,-0.09,0,0.96,-0.01,0.59,-0.14,5.39,-0.18,-80.57,-161.14
31022,1044,1.33,-1.73,-5.05,-0.04,0,0.96,-0.01,0.58,-0.15,2.17,0.13,-80.18,-160.36
31079,1020,0.44,0.84,-2.14,-0.04,-0.01,0.99,-0.01,0.59,-0.15,2.22,-0.4,-80.61,-161.22
31135,1040,-2.16,0,-2.14,-0.04,0.01,0.96,-0.01,0.59,-0.14,2.15,0.62,-80.44,-160.88
31266,1033, ,0,-2.14,-0.04,-0.02,0.96,-0.01,0,-0.14,2.66,-0.91,-80.33,-160.66
31393,1054,-4.88,6.26,4.92,-0.04,-0.02,0.96,-0.01,0.59,-0.14,0.58,-1.22,-80.74,-161.48
31451,1001,-4.72,2.28,3.45,-0.01,-0.02,0.95,0,0.59,-0.15,0.75,-1.49,-81.3,-162.6
31508,950,-2.55,1.28,2.21,0.02,-0.02,0.93,0,0.59,-0.14,-1.22,-1.26,-81.73,-163.46
31564,1029,-2.66,0,6.85,-0.01,-0.03,0.94,0,0.58,-0.15,0.48,-2.04,-81.1,-162.2
31623,1067,-2.64,4.09,8.21,0,-0.03,0.96,0,0.59,-0.14,-0.22,-1.53,-81.58,-163.16
31679,1032,-3.37,2.56,8.96,0,-0.04,0.97,0,0.58,-0.15,0.02,-2.38,-81.76,-163.52
31736,1014,-2.94,-0.14,8.78,0,-0.02,0.99,0,0.59,-0.14,-0.24,-1.33,-81.49,-162.98
31794,1064,-1.82,-6.36,4.3,-0.04,-0.04,0.97,0,0.59,-0.14,2.57,-2.24,-81.56,-163.12
31850,1025,-0.35,4.17,-0.2,0.01,0.06,1.03,0,0.59,-0.14,-0.45,3.19,-81.23,-162.46
31907,1054,1.1,0.33,-7.36,0.03,0.01,0.95,0,0.59,-0.14,-1.69,0.53,-81.66,-163.32
31964,1023,0.45,-7.57,-7.99,-0.04,0.02,0.95,0,0.59,-0.14,2.51,1.33,-81.49,-162.98
32021,1033,-0.71,-5.61,-0.25,-0.02,0.03,0.99,-0.01,0.59,-0.13,1.25,1.61,-80.9,-161.8
32078,107,-0.81,4.73,5.81,-0.06,0.04,0.95,0,0.59,-0.13,3.34,2.37,-81.28,-162.56
32136,1047,2.04,2.97,2.68,-0.05,0.01,0.96,0,0.6,-0.13,3.15,0.78,-81.62,-163.24
32267,1032,-4,0.86,5.43,-0.04,0.02,0.96,0.01,0.59,-0.13,2.4,1.27,-81.93,-163.86
32396,1024,-1.7,3.51,5.64,-0.08,0.01,0.97,0,0.59,-0.12,4.41,0.81,-81.58,-163.16
32453,1054,0.11,1.72,2.37,-0.03,0,0.92,0.01,0.59,-0.13,1.98,0.09,-81.93,-163.86
32509,1067,-2.25,-0.88,-0.8,-0.05,0,1,0,0.59,-0.12,2.77,0.11,-81.19,-162.38
32567,1001,-4.24,-6.56,3.74,-0.02,-0.01,0.94,0,0.59,-0.12,1.21,-0.81,-81.61,-163.22
32624,1026,-3.42,-2.93,6.61,-0.07,-0.01,0.96,0,0.59,-0.12,4.35,-0.88,-81.72,-163.44
32680,1039,-0.29,2.46,6.9,-0.06,-0.01,0.92,0,0.59,-0.12,3.54,-0.84,-81.43,-162.86
32739,1042,1.47,5.4,2.64,-0.07,-0.01,0.97,0,0.59,-0.11,3.92,-0.8,-81.11,-162.22
32796,1042,-0.25,-0.62,-0.11,-0.04,-0.03,0.95,0,0.59,-0.12,2.25,-1.55,-81.61,-163.22
32852,1046,-4.19,2.71,-3.26,-0.02,-0.02,0.98,0,0.59,-0.12,1.46,-1.04,-81.68,-163.36
32910,1045,-5.08,1.23,-6.4,0,0.01,0.95,0.01,0.58,-0.12,-0.07,0.53,-82.25,-164.5
32967,1015,-3.14,4.03,-4.38,-0.03,0,0.97,0.01,0.58,-0.12,1.68,-0.23,-82.64,-165.28
33024,1008,-0.71,0.2,-8.66,-0.05,-0.01,0.98,0.01,0.58,-0.11,2.9,-0.36,-82.25,-164.5
33024,1038,2.62,9.62,-4.46,-0.07,0.05,1.09,0,0.58,-0.11,3.5,2.87,-82.51,-165.02
33211,1031,5.06,-6.62,0,-0.01,0,0.95,0.02,0.58,-0.11,0.31,-0.18,,0
33343, ,9.21,-2.07,-7.42,0,0.03,0.99,0,0.59,-0.1,-0.01,1.58,-81.52,-163.04
33473,1063,-5.64,-4.81,2.7,-0.02,0,0.97,-0.01,0.58,-0.1,1.02,0.1,-80.91,-161.82
33558,1046,-9.84,-8.73,5.07,-0.03,-0.04,0.93,-0.01,0.58,-0.11,1.98,-2.49,-80.38,-160.76
33615,1016,-8.59,-5.95,5.11,-0.06,-0.02,0.96,0,0.58,-0.1,3.63,-1.12,-80.98,-161.96
33673,,-7.92,-1.67,3.85,-0.09,0,0.95,-0.01,0.57,-0.11,5.45,0.13,-80.61,-161.22
33729,1076,-3.44,18.75,3.82,-0.02,0.04,0.97,-0.01,0.58,-0.11,1.43,2.15,-80.22,-160.44
33786,1054,0.48,1.76,3.19,-0.05,-0.01,0.95,0,0.57,-0.11,2.89,-0.63,-81.01,-162.02
33844,1052,-0.4,-3.44,3.98,0.01,-0.01,0.93,-0.01,0.57,-0.11,-0.88,-0.49,-80.48,-160.96
33900,1082,0.45,-2,3.17,-0.03,-0.04,0.93,-0.01,0.58,-0.11,2.13,-2.21,-80.43,-160.86
33957,1073,0.89,-7.17,5.41,-0.02,-0.02,0.96,-0.01,0.57,-0.11,1.2,-1.26,-80.12,-160.24
34015,1061,1.51,-0.94,8.04,-0.05,0,0.99,-0.02,0.57,-0.11,3,-0.04,-79.48,-158.96
34071,1098,-0.43,8.98,4.57,-0.03,-0.05,0.99,-0.01,0.57,-0.11,1.91,-2.62,-80.23,-160.46
34129,1041,-5.98,6.3,9.96,0,-0.05,0.99,-0.02,0.57,-0.11,3.36,-0.41,-79,-158
34262,1038,-1.5,0.04,-1.07,-0.04,0.01,0.99,-0.02,0.57,-0.11,2.53,0.84,-79.23,-158.46
34390,1059,3.25,3.42,6.13,-0.05,0.02,0.97,-0.02,0.57,-0.11,3.09,1.03,-79.19,-158.38
34447,1061,2.17,5.29,4.25,-0.05,0.03,0.97,-0.03,0.57,-0.11,2.91,1.56,-78.66,-157.32
34503,1046,1.19,1.37,3.47,-0.06,0.02,0.96,-0.02,0.57,-0.12,3.4,1.3,-79.09,-158.18
34561,1104,0.62,2.98,0.25,-0.06,0.03,0.94,-0.02,0.57,-0.11,3.7,1.53,-78.94,-157.88
34618,1091,-1.78,2.31,1,-0.04,-0.02,0.96,-0.02,0.58,-0.11,2.58,-1.26,-78.98,-157.96
3467,1022,-6.89,-1.58,3.41,-0.05,-0.01,0.97,-0.02,0.57,-0.11,2.98,-0.79,-78.94,-157.88
34733,1116,-6.66,0.32,5.16,-0.04,0,0.97,-0.03,0.57,-0.12,2.66,-0.02,-78.63,-157.26
34789,1044,-2.72,1.84,2.55,-0.04,-0.02,0.96,-0.03,0.57,-0.11,2.65,-1.07,-78.62,-157.24
34846,1094,1.14,-8.56,5.44,-0.05,-0.01,0.94,-0.03,0.57,-0.11,3.26,-0.76,-78.25,-156.5
34904,1046,-0.81,-0.01,5.15,-0.07,0,0.97,-0.03,0.57,-0.11,4.12,-0.2,-78.44,-156.88
34960,1098,0.63,0.11,2.78,-0.07,-0.01,0.95,-0.03,0.57,-0.11,3.93,-0.84,-78.06,-156.12
35017,1047,-2.9,4.13,-0.71,-0.06,-0.01,0.96,-0.03,0.57,-0.11,3.62,-0.3,-78.11,-156.22
