T,D,L,Ly,G,Gy,Gz,A,Ay,Az,M,My,Mz,P,R,H,
82533,793,GPGGA,1906,-0.96,0.6,0.37,-0.09,0.07,0.96,0.19,0.04,-0.6,4.1,5.3,-320.64,*7A
82660,793,,,-1.27,0.42,0.2,-0.09,0.07,0.96,0.19,0.04,-0.61,4.22,5.23,-319.37,*7A
82717,793,,,-1.17,0.54,0.38,-0.09,0.07,0.96,0.2,0.04,-0.61,4.25,5.44,-319.81,*7A
82774,793,,,-1.06,0.45,0.33,-0.09,0.07,0.96,0.19,0.04,-0.61,4.34,5.46,-320.14,*7A
82831,793,,,-1.26,0.5,0.24,-0.09,0.07,0.96,0.19,0.04,-0.61,4.25,5.35,-322.03,*7A
82887,793,,,-1.13,0.63,0.25,-0.09,0.07,0.96,0.19,0.04,-0.61,4.07,5.35,-321.51,*7A
82945,793,,,-1.16,0.57,0.25,-0.09,0.07,0.96,0.2,0.04,-0.61,4.19,5.45,-322.44,*7A
83001,793,,,-1.16,0.57,0.35,-0.09,0.07,0.96,0.2,0.04,-0.62,4.29,5.39,-321.49,*7A
83058,793,,,-1.11,0.73,0.35,-0.09,0.07,0.96,0.2,0.04,-0.61,4.21,5.44,-319.69,*7A
83058,793,,,-1.36,0.53,0.17,-0.09,0.07,0.96,0.19,0.04,-0.61,4.23,5.27,-319.81,*7A
83172,793,,,-1.05,0.45,0.31,-0.09,0.07,0.96,0.19,0.04,-0.61,4.2,5.42,-321.11,*7A
83229,793,,,-1.18,0.72,0.16,-0.09,0.07,0.96,0.19,0.04,-0.61,4.12,5.44,-320.57,*7A
83286,793,,,-0.97,0.54,0.21,-0.09,0.07,0.96,0.19,0.04,-0.61,4.15,5.37,-321.02,*7A
83343,793,,,-1.2,0.43,0.19,-0.09,0.07,0.96,0.19,0.04,-0.61,4.11,5.4,-318.51,*7A
83400,793,,,,0.43,0.19,-0.09,0.07,0.96,0.19,0.04,-0.61,,5.46,-320.01,*7A
83531,793,,,-1.29,0.54,0.14,,0.07,0.96,0.19,0.04,-0.6,4.17,5.35,-320.86,*7A
83618,793,GPGGA,190659,-1.09,0.73,0.25,-0.09,0.07,0.96,0.19,0.04,-0.61,4.18,5.36,-320.7,*7A
83676,793,GPGGA,190659,-1.09,0.69,0.24,-0.09,0.07,0.96,0.19,0.03,-0.6,4.16,5.27,-324.99,*7A
83733,793,,,-0.9,0.51,0.25,-0.09,0.07,0.96,0.19,0.03,-0.61,4.08,5.28,-323.74,*7A
83789,793,,,-1.02,0.32,0.25,-0.09,0.07,0.96,0.2,0.04,-0.61,4.3,5.36,-322.19,*7A
83847,793,,,-1,0.5,0.36,-0.09,0.07,0.96,0.19,0.04,-0.61,4.12,5.37,-320.59,*7A
83903,793,,,-1.02,0.62,0.2,-0.09,0.07,0.96,0.19,0.04,-0.61,4.32,5.38,-319.9,*7A
83960,793,,,-0.95,0.64,0.34,-0.09,0.07,0.96,0.19,0.04,-0.6,4.23,5.29,-319.52,*7A
84017,793,,,-1.1,0.56,0.38,-0.09,0.07,0.96,0.19,0.03,-0.61,4.17,5.3,-323.23,*7A
84074,793,,,-1.13,0.53,0.14,-0.09,0.07,0.96,0.19,0.04,-0.61,4.16,5.27,-321.29,*7A
84131,793,,,-1.21,0.52,0.16,-0.09,0.07,0.96,0.19,0.03,-0.61,4.15,5.15,-322.56,*7A
84188,793,,,-1.14,0.59,0.19,-0.09,0.07,0.96,0.19,0.03,-0.61,4.25,5.35,-324.12,*7A
84245,793,,,-1.27,0.45,0.24,-0.09,0.07,0.96,0.19,0.03,-0.61,4.3,5.36,-323.02,*7A
84301,793,,,-1.02,0.58,0.23,-0.09,0.07,0.96,0.19,0.04,-0.61,4.21,5.42,-318.92,*7A
84359,793,,,-0.79,0.52,0.11,-0.09,0.07,0.96,0.19,0.04,-0.6,4.21,5.32,-320.17,*7A
